Name,Developer
Wii Sports,Nintendo
Super Mario Bros.,
Mario Kart Wii,Nintendo
Wii Sports Resort,Nintendo
Pokemon Red/Pokemon Blue,
Tetris,
New Super Mario Bros.,Nintendo
Wii Play,Nintendo
New Super Mario Bros. Wii,Nintendo
Duck Hunt,
Nintendogs,
Mario Kart DS,Nintendo
Pokemon Gold/Pokemon Silver,
Wii Fit,Nintendo
Kinect Adventures!,Good Science Studio
Wii Fit Plus,Nintendo
Grand Theft Auto V,Rockstar North
Grand Theft Auto: San Andreas,Rockstar North
Super Mario World,
Brain Age: Train Your Brain in Minutes a Day,Nintendo
Pokemon Diamond/Pokemon Pearl,
Super Mario Land,
Super Mario Bros. 3,
Grand Theft Auto V,Rockstar North
Grand Theft Auto: Vice City,Rockstar North
Pokemon Ruby/Pokemon Sapphire,
Brain Age 2: More Training in Minutes a Day,Nintendo
Pokemon Black/Pokemon White,
Gran Turismo 3: A-Spec,Polyphony Digital
Call of Duty: Modern Warfare 3,"Infinity Ward, Sledgehammer Games"
Pokémon Yellow: Special Pikachu Edition,
Call of Duty: Black Ops 3,
Call of Duty: Black Ops,Treyarch
Pokemon X/Pokemon Y,
Call of Duty: Black Ops II,Treyarch
Call of Duty: Black Ops II,Treyarch
Call of Duty: Modern Warfare 2,Infinity Ward
Call of Duty: Modern Warfare 3,"Infinity Ward, Sledgehammer Games"
Grand Theft Auto III,DMA Design
Super Smash Bros. Brawl,Game Arts
Mario Kart 7,"Retro Studios, Entertainment Analysis & Development Division"
Call of Duty: Black Ops,Treyarch
Grand Theft Auto V,Rockstar North
Animal Crossing: Wild World,Nintendo
Halo 3,"Bungie Software, Bungie"
Super Mario 64,
Pokemon HeartGold/Pokemon SoulSilver,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,
Gran Turismo 4,Polyphony Digital
Super Mario Galaxy,Nintendo
Super Mario Land 2: 6 Golden Coins,
Grand Theft Auto IV,Rockstar North
Gran Turismo,Polyphony Digital
Super Mario 3D Land,Nintendo
Gran Turismo 5,Polyphony Digital
Call of Duty: Modern Warfare 2,Infinity Ward
Super Mario All-Stars,
Grand Theft Auto IV,Rockstar North
Pokemon FireRed/Pokemon LeafGreen,
Super Mario 64,
Call of Duty: Ghosts,Infinity Ward
Just Dance 3,Ubisoft
New Super Mario Bros. 2,Nintendo
Mario Kart 64,
Halo: Reach,Bungie
Final Fantasy VII,SquareSoft
Halo 4,343 Industries
Gran Turismo 2,Polyphony Digital
Just Dance 2,Ubisoft
Call of Duty: Ghosts,Infinity Ward
Call of Duty 4: Modern Warfare,Infinity Ward
Donkey Kong Country,
Minecraft,
Animal Crossing: New Leaf,Nintendo
Mario Party DS,Hudson Soft
The Elder Scrolls V: Skyrim,Bethesda Game Studios
Super Mario Kart,
FIFA 16,EA Sports
Halo 2,Bungie Software
Wii Party,Nd Cube
Mario Party 8,Hudson
FIFA Soccer 13,Electronic Arts
GoldenEye 007,
Pokemon Black 2/Pokemon White 2,
Final Fantasy X,SquareSoft
The Sims 3,The Sims Studio
Mario & Sonic at the Olympic Games,
Star Wars Battlefront (2015),
