Name,Genre
Wii Sports,Sports
Super Mario Bros.,Platform
Mario Kart Wii,Racing
Wii Sports Resort,Sports
Pokemon Red/Pokemon Blue,Role-Playing
Tetris,Puzzle
New Super Mario Bros.,Platform
Wii Play,Misc
New Super Mario Bros. Wii,Platform
Duck Hunt,Shooter
Nintendogs,Simulation
Mario Kart DS,Racing
Pokemon Gold/Pokemon Silver,Role-Playing
Wii Fit,Sports
Kinect Adventures!,Misc
Wii Fit Plus,Sports
Grand Theft Auto V,Action
Grand Theft Auto: San Andreas,Action
Super Mario World,Platform
Brain Age: Train Your Brain in Minutes a Day,Misc
Pokemon Diamond/Pokemon Pearl,Role-Playing
Super Mario Land,Platform
Super Mario Bros. 3,Platform
Grand Theft Auto V,Action
Grand Theft Auto: Vice City,Action
Pokemon Ruby/Pokemon Sapphire,Role-Playing
Brain Age 2: More Training in Minutes a Day,Puzzle
Pokemon Black/Pokemon White,Role-Playing
Gran Turismo 3: A-Spec,Racing
Call of Duty: Modern Warfare 3,Shooter
Pokémon Yellow: Special Pikachu Edition,Role-Playing
Call of Duty: Black Ops 3,Shooter
Call of Duty: Black Ops,Shooter
Pokemon X/Pokemon Y,Role-Playing
Call of Duty: Black Ops II,Shooter
Call of Duty: Black Ops II,Shooter
Call of Duty: Modern Warfare 2,Shooter
Call of Duty: Modern Warfare 3,Shooter
Grand Theft Auto III,Action
Super Smash Bros. Brawl,Fighting
Mario Kart 7,Racing
Call of Duty: Black Ops,Shooter
Grand Theft Auto V,Action
Animal Crossing: Wild World,Simulation
Halo 3,Shooter
Super Mario 64,Platform
Pokemon HeartGold/Pokemon SoulSilver,Action
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing
Gran Turismo 4,Racing
Super Mario Galaxy,Platform
Super Mario Land 2: 6 Golden Coins,Adventure
Grand Theft Auto IV,Action
Gran Turismo,Racing
Super Mario 3D Land,Platform
Gran Turismo 5,Racing
Call of Duty: Modern Warfare 2,Shooter
Super Mario All-Stars,Platform
Grand Theft Auto IV,Action
Pokemon FireRed/Pokemon LeafGreen,Role-Playing
Super Mario 64,Platform
Call of Duty: Ghosts,Shooter
Just Dance 3,Misc
New Super Mario Bros. 2,Platform
Mario Kart 64,Racing
Halo: Reach,Shooter
Final Fantasy VII,Role-Playing
Halo 4,Shooter
Gran Turismo 2,Racing
Just Dance 2,Misc
Call of Duty: Ghosts,Shooter
Call of Duty 4: Modern Warfare,Shooter
Donkey Kong Country,Platform
Minecraft,Misc
Animal Crossing: New Leaf,Simulation
Mario Party DS,Misc
The Elder Scrolls V: Skyrim,Role-Playing
Super Mario Kart,Racing
FIFA 16,Sports
Halo 2,Shooter
Wii Party,Misc
Mario Party 8,Misc
FIFA Soccer 13,Action
GoldenEye 007,Shooter
Pokemon Black 2/Pokemon White 2,Role-Playing
Final Fantasy X,Role-Playing
The Sims 3,Simulation
Mario & Sonic at the Olympic Games,Sports
Star Wars Battlefront (2015),Shooter
Final Fantasy VIII,Role-Playing
Pac-Man,Puzzle
Pokémon Platinum Version,Role-Playing
Grand Theft Auto: Liberty City Stories,Action
Call of Duty: Advanced Warfare,Shooter
The Legend of Zelda: Ocarina of Time,Action
FIFA 17,Sports
Crash Bandicoot 2: Cortex Strikes Back,Platform
Super Smash Bros. for Wii U and 3DS,Fighting
Super Mario Galaxy 2,Platform
Super Mario Bros. 2,Platform
Call of Duty: Black Ops 3,Shooter
Call of Duty: World at War,Shooter
Battlefield 3,Shooter
Need for Speed Underground,Racing
Just Dance,Misc
Battlefield 3,Shooter
Fallout 4,Role-Playing
Tekken 3,Fighting
The Legend of Zelda: Twilight Princess,Action
Pokemon Sun/Moon,Role-Playing
Crash Bandicoot 3: Warped,Platform
Mario Kart 8,Racing
Super Smash Bros. Melee,Fighting
Mario Kart: Double Dash!!,Racing
Need for Speed Underground 2,Racing
Medal of Honor: Frontline,Shooter
Crash Bandicoot,Platform
Just Dance 4,Misc
Gears of War 2,Shooter
Uncharted 3: Drake's Deception,Action
Zumba Fitness,Sports
Call of Duty 4: Modern Warfare,Shooter
Uncharted 2: Among Thieves,Action
FIFA 12,Sports
Big Brain Academy,Misc
The Legend of Zelda,Action
Red Dead Redemption,Action
FIFA 14,Sports
Assassin's Creed III,Action
Donkey Kong Country Returns,Platform
Halo: Combat Evolved,Shooter
The Elder Scrolls V: Skyrim,Role-Playing
Pokémon Emerald Version,Role-Playing
Kingdom Hearts,Role-Playing
Pokémon Crystal Version,Role-Playing
Halo 3: ODST,Shooter
Red Dead Redemption,Action
Super Mario Sunshine,Platform
Street Fighter II: The World Warrior,Fighting
World of Warcraft,Role-Playing
Driver,Action
Gears of War 3,Shooter
Kinect Sports,Sports
Gears of War,Shooter
FIFA 15,Sports
Metal Gear Solid 2: Sons of Liberty,Action
Sonic the Hedgehog 2,Platform
Metal Gear Solid,Action
Metal Gear Solid 4: Guns of the Patriots,Action
Final Fantasy XII,Role-Playing
The Last of Us,Action
LittleBigPlanet,Platform
Resident Evil 2,Action
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing
Tekken 2,Fighting
Destiny,Shooter
LEGO Star Wars: The Complete Saga,Action
Cooking Mama,Simulation
Tetris,Puzzle
Super Smash Bros.,Fighting
Assassin's Creed II,Action
Assassin's Creed,Adventure
Forza Motorsport 3,Racing
Super Mario Advance,Platform
Monster Hunter Freedom Unite,Role-Playing
Batman: Arkham City,Action
Grand Theft Auto V,Action
Mario Kart: Super Circuit,Racing
Super Mario World,Platform
Pokemon Stadium,Strategy
Crash Bandicoot: The Wrath of Cortex,Platform
Call of Duty: World at War,Shooter
Uncharted 4: A Thief's End,Shooter
Dr. Mario,Puzzle
Final Fantasy XIII,Role-Playing
Pokemon Pinball,Misc
Final Fantasy IX,Role-Playing
Assassin's Creed III,Action
Final Fantasy X-2,Role-Playing
Donkey Kong 64,Platform
Call of Duty: Advanced Warfare,Shooter
Minecraft,Misc
Assassin's Creed II,Action
